title,image_url,rating,upc,price,inventory,category,url,description
The Last Mile (Amos Decker #2),http://books.toscrape.com/media/cache/e6/dc/e6dcc8f75214eb14edc1ce09c98f3d71.jpg,2,3bc89353f7e3a3cc,£54.21,14,Mystery,http://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,"In his #1 New York Times bestseller Memory Man, David Baldacci introduced the extraordinary detective Amos Decker-the man who can forget nothing. Now, Decker returns in a spectacular new thriller . . "
That Darkness (Gardiner and Renner #1),http://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,1,0c7b9cf2b7662b65,£13.92,14,Mystery,http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,"As a forensic investigator for the Cleveland Police Department, Maggie Gardiner has seen her share of Jane Does. The latest is an unidentified female in her early teens, discovered in a local cemetery"
Tastes Like Fear (DI Marnie Rome #3),http://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,1,2d1e337aaf341858,£10.69,14,Mystery,http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,"Sarah Hilary won the 2015 Theakston's Crime Novel of the Year with her debut, the 2014 Richard and Judy pick SOMEONE ELSE'S SKIN. She followed up with NO OTHER DARKNESS, proclaimed as 'riveting' by Li"
A Time of Torment (Charlie Parker #14),http://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,5,4416c474713ec1f5,£48.35,14,Mystery,http://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,"Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned, brutalized.But in his final days, with the hunters"
A Study in Scarlet (Sherlock Holmes #1),http://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,2,63ee5bc46066a8a8,£16.73,14,Mystery,http://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,"In the debut of literature's most famous sleuth, a dead man is discovered in a bloodstained room in Brixton. The only clues are a wedding ring, a gold watch, a pocket edition of Boccaccio's Decameron,"
Poisonous (Max Revere Novels #3),http://books.toscrape.com/media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg,3,abdd91e96515a617,£26.80,12,Mystery,http://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,"Teen-aged Internet bully Ivy Lake fell off a cliff and few people cared ... except her mentally-challenged eighteen-year-old step-brother, Tommy. He loved her in spite of her cruelty. He's distraught "
Murder at the 42nd Street Library (Raymond Ambler #1),http://books.toscrape.com/media/cache/19/74/19748437aac103dbdeb1918062728726.jpg,4,e7fe3bf2768602cf,£54.36,12,Mystery,http://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,"Murder at the 42nd Street Library opens with a murder in a second floor office of the iconic, beaux-arts flagship of the New York Public Library. Ray Ambler, the curator of the library's crime fiction"
Most Wanted,http://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg,3,c039f5aceb093537,£35.28,12,Mystery,http://books.toscrape.com/catalogue/most-wanted_623/index.html,"Lisa Scottoline delivers another searing, powerful blockbuster novel that explores hot-button issues within the framework of an intricately plotted thriller. When a woman and her husband, desperate fo"
Hide Away (Eve Duncan #20),http://books.toscrape.com/media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg,1,bddc6fd036eb6279,£11.84,12,Mystery,http://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,Iris Johansen's beloved forensic sculptor Eve Duncan is back and now the stakes are higher than ever. Dramatic changes are on the horizon for Eve and Joe Quinn and their relationship may never be the 
Boar Island (Anna Pigeon #19),http://books.toscrape.com/media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg,3,49b24c6a41b82bd2,£59.48,12,Mystery,http://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,"Bringing you a gripping mystery, Nevada Barr transports you to the wild and dangerous landscapes of America's National Parks and is sure to appeal if you like Sue Grafton and Janet Evanovich.The eight"
The Widow,http://books.toscrape.com/media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg,2,6159d8b187831770,£27.26,11,Mystery,http://books.toscrape.com/catalogue/the-widow_609/index.html,"THE NEW YORK TIMESBESTSELLERFor fans of Gone Girl and The Girl on the Train, an electrifying thriller that will take you into the dark spaces that exist between a husband and a wife.When the police st"
Playing with Fire,http://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg,3,05a61a3bd8ca4149,£13.71,11,Mystery,http://books.toscrape.com/catalogue/playing-with-fire_602/index.html,"A beautiful violinist is haunted by a very old piece of music she finds in a strange antique shop in Rome.The first time Julia Ansdell picks up The Incendio Waltz, she knows it’s a strikingly unusual "
What Happened on Beale Street (Secrets of the South Mysteries #2),http://books.toscrape.com/media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg,5,9735c969c652dd89,£25.37,7,Mystery,http://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,"What Happened on Beale Street is an exciting addition to the Secrets of the South Mysteries from bestselling author Mary Ellis. These standalone, complex crime dramas follow a private investigator's q"
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),http://books.toscrape.com/media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg,5,20789fb17b423c4c,£52.30,7,Mystery,http://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,"In 1910 Toronto, while other bachelor girls perfect their domestic skills and find husbands, two friends perfect their sleuthing skills and find a murderer.Inspired by their fascination with all thing"
Delivering the Truth (Quaker Midwife Mystery #1),http://books.toscrape.com/media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg,4,4e980425468708da,£20.89,7,Mystery,http://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Quaker midwife Rose Carroll hears secrets and keeps confidences as she attends births of the rich and poor alike in an 1888 Massachusetts mill town. When the town’s world-famed carriage industry is th
The Mysterious Affair at Styles (Hercule Poirot #1),http://books.toscrape.com/media/cache/6b/61/6b61d393f0731f6c52182ba3cf41e245.jpg,4,2da5edf8b5776c9a,£24.80,6,Mystery,http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,"Poirot, a Belgian refugee of the Great War, is settling in England near the home of Emily Inglethorp, who helped him to his new life. His friend Hastings arrives as a guest at her home. When the woman"
In the Woods (Dublin Murder Squad #1),http://books.toscrape.com/media/cache/13/47/13470484ded8c835ce03b662fc863a1a.jpg,2,6958de044cb28a84,£38.38,6,Mystery,http://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,"A gorgeously written novel that marks the debut of an astonishing new voice in psychological suspense.As dusk approaches a small Dublin suburb in the summer of 1984, mothers begin to call their childr"
The Silkworm (Cormoran Strike #2),http://books.toscrape.com/media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg,5,f06039c29b5891fa,£23.05,3,Mystery,http://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,"Private investigator Cormoran Strike returns in a new mystery from Robert Galbraith, author of the #1 international bestseller The Cuckoo's Calling.When novelist Owen Quine goes missing, his wife call"
The Exiled,http://books.toscrape.com/media/cache/dd/29/dd29147b962e4480491cac5bce41e4e4.jpg,3,dd003e904727281a,£43.45,3,Mystery,http://books.toscrape.com/catalogue/the-exiled_247/index.html,"Can anyone ever truly outrun his past?Back in the 1980s, Wes Raney was an ambitious New York City Narcotics Detective with a growing drug habit of his own. While working undercover on a high-risk case"
The Cuckoo's Calling (Cormoran Strike #1),http://books.toscrape.com/media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg,1,1be6d3b121865edb,£19.21,3,Mystery,http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,"A BRILLIANT DEBUT MYSTERY IN A CLASSIC VEIN: DETECTIVE CORMORAN STRIKE INVESTIGATES A SUPERMODEL'S SUICIDE. After losing his leg to a land mine in Afghanistan, Cormoran Strike is barely scraping by as"
Extreme Prey (Lucas Davenport #26),http://books.toscrape.com/media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg,3,588ba85ff11a3263,£25.40,3,Mystery,http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,"The extraordinary new Lucas Davenport thriller from #1New York Times–bestselling author and Pulitzer Prize winner John Sandford. After the events in Gathering Prey, Lucas Davenport finds himself in a "
Career of Evil (Cormoran Strike #3),http://books.toscrape.com/media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg,2,b461cf238506c5b8,£24.72,3,Mystery,http://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,"Cormoran Strike is back, with his assistant Robin Ellacott, in a mystery based around soldiers returning from war.When a mysterious package is delivered to Robin Ellacott, she is horrified to discover"
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),http://books.toscrape.com/media/cache/62/8c/628c0151226402726149c98549671250.jpg,4,b0913e67d38d5ed5,£57.70,1,Mystery,http://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,"The No.1 ladies' detective agency consists of one woman, the engaging and sassy Precious Ramotswe, who sets up shop in Gabarone, Botswana. This unlikely herione specialises in missing husbands, waywar"
The Girl You Lost,http://books.toscrape.com/media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg,5,4280ac3eab57aa5d,£12.29,1,Mystery,http://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,"Eighteen years ago your baby daughter was snatched. Today, she came back. A sinister and darkly compelling psychological thriller from the No.1 bestselling author of The Girl With No Past. Eighteen ye"
The Girl In The Ice (DCI Erika Foster #1),http://books.toscrape.com/media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg,3,ee61197edb882599,£15.85,1,Mystery,http://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,Her eyes are wide open. Her lips parted as if to speak. Her dead body frozen in the ice…She is not the only one. When a young boy discovers the body of a woman beneath a thick sheet of ice in a South 
Blood Defense (Samantha Brinkman #1),http://books.toscrape.com/media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg,3,95cdfd514098c38b,£20.30,1,Mystery,http://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,"First in a new series from bestselling author and famed O. J. Simpson trial prosecutor Marcia Clark, a “terrific writer and storyteller” (James Patterson). Samantha Brinkman, an ambitious, hard-chargi"
1st to Die (Women's Murder Club #1),http://books.toscrape.com/media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg,1,f684a82adc49f011,£53.98,1,Mystery,http://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,"James Patterson, bestselling author of the Alex Cross novels Along Came a Spider, Kiss the Girls, and Pop Goes the Weasel, offers the first of a new series dubbed The Women's Murder Club, featuring a "
Tipping the Velvet,http://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,1,90fa61229261140a,£53.74,20,Historical Fiction,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King, an oyster girl, is captivated by the music hall phenomenon Kitty Butler, a male impersonator extraord"
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,http://books.toscrape.com/media/cache/f9/9e/f99e760b894d10c6e5ed578618918367.jpg,3,9beb96a2300109d7,£29.69,16,Historical Fiction,http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,A Proper Historical Romance seriesThe first book in a new series which will focus on the lives of real historical figures who have intriguing stories of courtship that are recreated in fictionalized a
A Flight of Arrows (The Pathfinders #2),http://books.toscrape.com/media/cache/ec/65/ec651ed66822d4b68938afa645b1ece2.jpg,5,3a6fb983e2554023,£55.53,16,Historical Fiction,http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,October 1776--August 1777It is said that what a man sows he will reap--and for such a harvest there is no set season. No one connected to Reginald Aubrey is untouched by the crime he committed twenty 
The House by the Lake,http://books.toscrape.com/media/cache/46/a2/46a2c968bfccf1979cc5576085eec6dd.jpg,1,9287e238d7c3b06e,£36.95,15,Historical Fiction,http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,"Anna is content with her well-ordered life in San Francisco. But her world is turned upside down when her beloved grandfather, Max, reveals a startling secret: Anna is part of an aristocratic family w"
Mrs. Houdini,http://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg,5,a40723994f715420,£30.25,15,Historical Fiction,http://books.toscrape.com/catalogue/mrs-houdini_821/index.html,"A captivating debut novel, meticulously researched and beautifully imagined, about the passionate marriage of Harry and Bess Houdini—a love story that defied death itself.Before escape artist Harry Ho"
The Marriage of Opposites,http://books.toscrape.com/media/cache/33/8e/338e196723f3fb10d5c6990fe54be61d.jpg,4,52cf2a5933ec5d8f,£28.08,14,Historical Fiction,http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,From the New York Times bestselling author of The Dovekeepers and The Museum of Extraordinary Things: a forbidden love story set on the tropical island of St. Thomas about the extraordinary woman who 
Glory over Everything: Beyond The Kitchen House,http://books.toscrape.com/media/cache/06/ac/06ac98df817412ce2419c4509fa98c80.jpg,3,de4b403cb629a29f,£45.84,14,Historical Fiction,http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,"From the author of the New York Times bestseller and beloved book club favorite The Kitchen House, a novel of family and long-buried secrets along the treacherous Underground Railroad.Jamie Pyke, son "
"Love, Lies and Spies",http://books.toscrape.com/media/cache/5c/19/5c19785278eaa6bf984ce6659847abc3.jpg,2,9546d537fbf99eb6,£20.55,12,Historical Fiction,http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,"Juliana Telford is not your average nineteenth-century young lady. She’s much more interested in researching ladybugs than marriage, fashionable dresses, or dances. So when her father sends her to Lon"
A Paris Apartment,http://books.toscrape.com/media/cache/b3/d9/b3d90aca157d5a250becc8b255a37251.jpg,4,63343e287971bb0c,£39.01,12,Historical Fiction,http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,"Bienvenue à Paris!When April Vogt's boss tells her about an apartment in the ninth arrondissement that has been discovered after being shuttered for the past seventy years, the Sotheby's continental f"
Lilac Girls,http://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg,2,bade9943ee01b63f,£17.28,11,Historical Fiction,http://books.toscrape.com/catalogue/lilac-girls_597/index.html,"Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades.New York socialite Caroline Ferriday has her hands f"
The Constant Princess (The Tudor Court #1),http://books.toscrape.com/media/cache/ed/52/ed52651826bb23d853aead2753c9befc.jpg,3,24933c712f0bca2f,£16.62,7,Historical Fiction,http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,"""I am Catalina, Princess of Spain, daughter of the two greatest monarchs the world has ever known...and I will be Queen of England.""Thus, bestselling author Philippa Gregory introduces one of her most"
The Invention of Wings,http://books.toscrape.com/media/cache/7a/b0/7ab00e6956f540bfe0018656d5bfe1e4.jpg,1,e6635f5b0a2c78db,£37.34,6,Historical Fiction,http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,"Writing at the height of her narrative and imaginative gifts, Sue Monk Kidd presents a masterpiece of hope, daring, the quest for freedom, and the desire to have a voice in the world—and it is now the"
World Without End (The Pillars of the Earth #2),http://books.toscrape.com/media/cache/58/b5/58b5730dd82cbcf6560cf0ab8b56cd9f.jpg,4,2e5b4ff08a75fd02,£32.97,5,Historical Fiction,http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,"Eighteen years after the publication of The Pillars of the Earth, Ken Follett has written the the long awaited sequel, World Without End. World Without End takes place in the same town of Kingsbridge,"
The Passion of Dolssa,http://books.toscrape.com/media/cache/b3/59/b35975c0df26c40964028a8ccabc9a91.jpg,5,011674f4a3834b8d,£28.32,4,Historical Fiction,http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,"Dolssa is a young gentlewoman with uncanny gifts, on the run from an obsessed friar determined to burn her as a heretic for the passion she refuses to tame.Botille is a wily and charismatic peasant, a"
Girl With a Pearl Earring,http://books.toscrape.com/media/cache/b1/5e/b15ec9da5c7b28e2d11347dd2e8c20e5.jpg,1,5eff05e59f905a49,£26.77,4,Historical Fiction,http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful"
Voyager (Outlander #3),http://books.toscrape.com/media/cache/6e/22/6e22497cbecedef59be86d1328e4b044.jpg,5,7feac4000cbc5859,£21.07,3,Historical Fiction,http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,"From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber, the extraordinary saga continues.Their passionate encounter happened long ago by whatever measurement Claire Randall t"
The Red Tent,http://books.toscrape.com/media/cache/15/59/155942710c3ae4bd4ed622df9a999b99.jpg,5,3c456328b04a8ee8,£35.66,3,Historical Fiction,http://books.toscrape.com/catalogue/the-red-tent_273/index.html,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons."
The Last Painting of Sara de Vos,http://books.toscrape.com/media/cache/1c/e4/1ce4c2573d65ebdc3c85d9a6592d57b1.jpg,2,476c7972e9b41891,£55.55,3,Historical Fiction,http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,"This is what we long for: the profound pleasure of being swept into vivid new worlds, worlds peopled by characters so intriguing and real that we can't shake them, even long after the reading's done. "
The Guernsey Literary and Potato Peel Pie Society,http://books.toscrape.com/media/cache/98/e3/98e3925e5e6a66acf2cde918fc147205.jpg,1,4a0a276409968a73,£49.53,3,Historical Fiction,http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,“ I wonder how the book got to Guernsey? Perhaps there is some sort of secret homing instinct in books that brings them to their perfect readers.” January 1946: London is emerging from the shadow of t
Girl in the Blue Coat,http://books.toscrape.com/media/cache/15/ea/15eaabd188af8916c4a37d135f7b8952.jpg,2,41fc5dce044f16f5,£46.83,3,Historical Fiction,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,"Amsterdam, 1943. Hanneke spends her days finding and delivering sought-after black market goods to paying customers, nights hiding the true nature of her work from her concerned parents, and every wak"
Between Shades of Gray,http://books.toscrape.com/media/cache/df/45/df45004c7a4c3940946ad09f85805565.jpg,5,155e42df837ee5ff,£20.79,3,Historical Fiction,http://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html,"Lina is just like any other fifteen-year-old Lithuanian girl in 1941. She paints, she draws, she gets crushes on boys. Until one night when Soviet officers barge into her home, tearing her family from"
While You Were Mine,http://books.toscrape.com/media/cache/4f/7c/4f7cde01c9711886ef5a8fa14996a52d.jpg,5,8ceb5c6aed2c5f8b,£41.32,1,Historical Fiction,http://books.toscrape.com/catalogue/while-you-were-mine_97/index.html,"Everything she loved could so easily be lost.The end of World War II should have brought joy to Gwen Mullen. But on V-J Day, her worst fear is realized. As celebrating crowds gather in Times Square, a"
The Secret Healer,http://books.toscrape.com/media/cache/3e/59/3e59b2225c72d3dcf40a306e2b983314.jpg,3,38f776ab9118aed7,£34.56,1,Historical Fiction,http://books.toscrape.com/catalogue/the-secret-healer_80/index.html,"In the fourteenth century, opportunities for women are limited to the home. But spirited young Madlen finds her calling as assistant to the city’s trusted midwife, Clara. Working alongside Clara, Madl"
Starlark,http://books.toscrape.com/media/cache/76/e2/76e2881d47f2da9283e52d3c57eef532.jpg,3,e25164e5b3fe208b,£25.83,1,Historical Fiction,http://books.toscrape.com/catalogue/starlark_56/index.html,"On the morning of her wedding, Roma awakens to find that a 21st century eclipse has swept her through time and space to medieval Ireland—a land bedevilled with strife, conflict and danger at every pos"
Lost Among the Living,http://books.toscrape.com/media/cache/5f/03/5f0345cd81aaad65bb9f6a34ec0f6b9b.jpg,4,d510567580c8be52,£27.70,1,Historical Fiction,http://books.toscrape.com/catalogue/lost-among-the-living_31/index.html,"England, 1921. Three years after her husband, Alex, disappeared, shot down over Germany, Jo Manders still mourns his loss. Working as a paid companion to Alex's wealthy, condescending aunt, Dottie For"
A Spy's Devotion (The Regency Spies of London #1),http://books.toscrape.com/media/cache/f9/6b/f96b60a7614c4e3e868b82f6811efc7c.jpg,5,19fec36a1dfb4c16,£16.97,1,Historical Fiction,http://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html,"In England’s Regency era, manners and elegance reign in public life—but behind closed doors treason and tawdriness thrive. Nicholas Langdon is no stranger to reserved civility or bloody barbarity. Aft"
